Area ,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type
914,2,2,Semi-Furnished,Rohini Sector 5,1,12000000,Ready_to_move,Resale,Builder_Floor
1100,3,3,Furnished,Rohini Sector 20,1,7000000,Ready_to_move,New_Property,Builder_Floor
800,3,2,Semi-Furnished,Rohini Sector 25,1,7000000,Ready_to_move,Resale,Builder_Floor
500,1,1,Semi-Furnished,"Sanskriti Apartment, Rohini Sector 28",1,3400000,Ready_to_move,Resale,Apartment
28,2,2,Furnished,Rohini Sector 25,1,5000000,Ready_to_move,New_Property,Apartment
2160,4,4,Furnished,Rohini Sector 19,1,21000000,Ready_to_move,New_Property,Builder_Floor
1500,1,,Unfurnished,Lajpat Nagar 2,,13500000,Ready_to_move,Resale,Apartment
800,2,2,Unfurnished,Lajpat Nagar 1,1,15000000,Ready_to_move,New_Property,Builder_Floor
900,2,2,Unfurnished,Lajpat Nagar,1,10500000,Ready_to_move,New_Property,Builder_Floor
1080,3,2,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",1,22500000,Ready_to_move,New_Property,Builder_Floor
750,2,2,Unfurnished,Lajpat Nagar 4,1,13600000,Ready_to_move,New_Property,Builder_Floor
1450,3,3,Semi-Furnished,Lajpat Nagar 3,2,30000000,Ready_to_move,New_Property,Builder_Floor
900,2,2,Semi-Furnished,Lajpat Nagar,1,13500000,Ready_to_move,New_Property,Apartment
810,2,2,Semi-Furnished,"Dayanand Colony, Lajpat Nagar How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 810 sqft status Ready to Move floor 1 out of 5 floors transaction Resale balcony 1 Contact Now Enquire Now Auction By Bank",1,8910000,Ready_to_move,Resale,Builder_Floor
1350,3,4,Unfurnished,Lajpat Nagar,1,25000000,Ready_to_move,Resale,Apartment
1710,3,3,Semi-Furnished,Lajpat Nagar 2,4,26000000,Ready_to_move,New_Property,Builder_Floor
1650,3,3,Semi-Furnished,Lajpat Nagar,1,30000000,Ready_to_move,Resale,Builder_Floor
1280,2,2,Furnished,Lajpat Nagar,1,12500000,Ready_to_move,Resale,Builder_Floor
1260,3,3,Semi-Furnished,Lajpat Nagar 3,1,21000000,Ready_to_move,Resale,Builder_Floor
1130,2,2,Unfurnished,Lajpat Nagar 4,1,7800000,Ready_to_move,Resale,Builder_Floor
600,2,2,Semi-Furnished,"Amar Colony, Lajpat Nagar",1,11500000,Ready_to_move,New_Property,Builder_Floor
850,2,2,Semi-Furnished,Lajpat Nagar 1,1,11500000,Ready_to_move,Resale,Builder_Floor
1500,3,3,Semi-Furnished,Lajpat Nagar 2,2,26000000,Ready_to_move,New_Property,Builder_Floor
900,2,2,Semi-Furnished,"Amar Colony, Lajpat Nagar",2,13000000,Ready_to_move,New_Property,Builder_Floor
1000,3,3,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",1,22000000,Ready_to_move,New_Property,Builder_Floor
900,2,2,Semi-Furnished,Lajpat Nagar 2,1,15800000,Ready_to_move,New_Property,Builder_Floor
2925,4,4,Unfurnished,Lajpat Nagar 3,2,57500000,Ready_to_move,New_Property,Builder_Floor
900,2,2,Unfurnished,Lajpat Nagar 1,2,10000000,Ready_to_move,Resale,Builder_Floor
1600,3,3,Unfurnished,Lajpat Nagar 3,2,30000000,Ready_to_move,New_Property,Builder_Floor
1143,3,3,Unfurnished,"Vikram Vihar, Lajpat Nagar",2,22000000,Ready_to_move,New_Property,Builder_Floor
1150,3,3,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",2,24000000,Ready_to_move,New_Property,Builder_Floor
1500,3,3,Semi-Furnished,Lajpat Nagar 3,1,31500000,Ready_to_move,Resale,Builder_Floor
850,2,2,Semi-Furnished,Lajpat Nagar 2,1,14600000,Ready_to_move,Resale,Builder_Floor
